Week 2 - Preemption Experement
[LOW] running at tick = 5846
[LOW] running at tick = 5876
[LOW] running at tick = 5907
[LOW] running at tick = 5938
[LOW] running at tick = 5968
[LOW] running at tick = 6000
[LOW] running at tick = 6030
[LOW] running at tick = 6060
[LOW] running at tick = 6091
[LOW] running at tick = 6123
[LOW] running at tick = 6154
[LOW] running at tick = 6186
[LOW] running at tick = 6216
[LOW] running at tick = 6247
[LOW] running at tick = 6278
[LOW] running at tick = 6310
[LOW] running at tick = 6340
[LOW] running at tick = 6370
[LOW] running at tick = 6401
[LOW] running at tick = 6432
[LOW] running at tick = 6463
[LOW] running at tick = 6494
[LOW] running at tick = 6525
[LOW] running at tick = 6555
[LOW] running at tick = 6586
[LOW] running at tick = 6616
[LOW] running at tick = 6647
[LOW] running at tick = 6677
[LOW] running at tick = 6708
[LOW] running at tick = 6738
[LOW] running at tick = 6769
[LOW] running at tick = 6799
[LOW] running at tick = 6829
[LOW] running at tick = 6859
[LOW] running at tick = 6888
[LOW] running at tick = 6916
[LOW] running at tick = 6945
[LOW] running at tick = 6973
[LOW] running at tick = 7001
[LOW] running at tick = 7029
[LOW] running at tick = 7057
[LOW] running at tick = 7084
[LOW] running at tick = 7111
[LOW] running at tick = 7138
[LOW] running at tick = 7164
[LOW] running at tick = 7190
[LOW] running at tick = 7215
[LOW] running at tick = 7240
