Week 2 - Preemption Experement
[LOW] running at tick = 4685
[LOW] running at tick = 4715
[LOW] running at tick = 4745
[LOW] running at tick = 4776
[LOW] running at tick = 4806
[LOW] running at tick = 4836
[LOW] running at tick = 4867
[LOW] running at tick = 4897
[LOW] running at tick = 4927
[LOW] running at tick = 4959
[LOW] running at tick = 4990
[HIGH] running at tick = 5000
[LOW] running at tick = 5003
[LOW] running at tick = 5008
[LOW] running at tick = 5013
[LOW] running at tick = 5018
[LOW] running at tick = 5023
[LOW] running at tick = 5028
[LOW] running at tick = 5033
[LOW] running at tick = 5038
[LOW] running at tick = 5043
[LOW] running at tick = 5048
[LOW] running at tick = 5053
[LOW] running at tick = 5058
[LOW] running at tick = 5063
[LOW] running at tick = 5068
[LOW] running at tick = 5073
[LOW] running at tick = 5078
[LOW] running at tick = 5082
[LOW] running at tick = 5088
[LOW] running at tick = 5093
[LOW] running at tick = 5098
[LOW] running at tick = 5103
[LOW] running at tick = 5134
[LOW] running at tick = 5165
[LOW] running at tick = 5197
[LOW] running at tick = 5228
[LOW] running at tick = 5260
[LOW] running at tick = 5291
[LOW] running at tick = 5323
[LOW] running at tick = 5330
[LOW] running at tick = 5334
[LOW] running at tick = 5339
[LOW] running at tick = 5344
[LOW] running at tick = 5349
[LOW] running at tick = 5353
[LOW] running at tick = 5358
[LOW] running at tick = 5363
[LOW] running at tick = 5368
[LOW] running at tick = 5373
[LOW] running at tick = 5377
[LOW] running at tick = 5382
[LOW] running at tick = 5387
[LOW] running at tick = 5392
[LOW] running at tick = 5397
[LOW] running at tick = 5402
[LOW] running at tick = 5407
[LOW] running at tick = 5412
[LOW] running at tick = 5417
[LOW] running at tick = 5422
[LOW] running at tick = 5427
[LOW] running at tick = 5432
[LOW] running at tick = 5437
[LOW] running at tick = 5443
[LOW] running at tick = 5449
[LOW] running at tick = 5455
[LOW] running at tick = 5461
[LOW] running at tick = 5467
[LOW] running at tick = 5473
[LOW] running at tick = 5479
[LOW] running at tick = 5485
[LOW] running at tick = 5491
[LOW] running at tick = 5497
[LOW] running at tick = 5503
[LOW] running at tick = 5509
[LOW] running at tick = 5515
[LOW] running at tick = 5544
[LOW] running at tick = 5576
[LOW] running at tick = 5607
